,Date,Status,state,cases
445,2020-08-09,Recovered,TT,54474
446,2020-08-09,Deceased,TT,1013
447,2020-08-10,Confirmed,TT,53016
448,2020-08-10,Recovered,TT,47362
449,2020-08-10,Deceased,TT,887
450,2020-08-11,Confirmed,TT,61252
451,2020-08-11,Recovered,TT,56461
452,2020-08-11,Deceased,TT,835
453,2020-08-12,Confirmed,TT,67066
454,2020-08-12,Recovered,TT,57759
455,2020-08-12,Deceased,TT,950
456,2020-08-13,Confirmed,TT,64141
457,2020-08-13,Recovered,TT,54776
458,2020-08-13,Deceased,TT,1006
459,2020-08-14,Confirmed,TT,65610
460,2020-08-14,Recovered,TT,56920
461,2020-08-14,Deceased,TT,989
462,2020-08-15,Confirmed,TT,63986
463,2020-08-15,Recovered,TT,53116
464,2020-08-15,Deceased,TT,952
465,2020-08-16,Confirmed,TT,58096
466,2020-08-16,Recovered,TT,57404
467,2020-08-16,Deceased,TT,952
468,2020-08-17,Confirmed,TT,54298
469,2020-08-17,Recovered,TT,58172
470,2020-08-17,Deceased,TT,880
471,2020-08-18,Confirmed,TT,64999
472,2020-08-18,Recovered,TT,60455
473,2020-08-18,Deceased,TT,1099
474,2020-08-19,Confirmed,TT,69196
475,2020-08-19,Recovered,TT,59365
476,2020-08-19,Deceased,TT,979
477,2020-08-20,Confirmed,TT,68518
478,2020-08-20,Recovered,TT,61873
479,2020-08-20,Deceased,TT,981
480,2020-08-21,Confirmed,TT,68519
481,2020-08-21,Recovered,TT,62858
482,2020-08-21,Deceased,TT,953
483,2020-08-22,Confirmed,TT,70067
484,2020-08-22,Recovered,TT,59101
485,2020-08-22,Deceased,TT,918
486,2020-08-23,Confirmed,TT,61749
487,2020-08-23,Recovered,TT,56896
488,2020-08-23,Deceased,TT,846
489,2020-08-24,Confirmed,TT,59696
490,2020-08-24,Recovered,TT,66305
491,2020-08-24,Deceased,TT,854
492,2020-08-25,Confirmed,TT,66873
493,2020-08-25,Recovered,TT,64151
494,2020-08-25,Deceased,TT,1066
495,2020-08-26,Confirmed,TT,75995
496,2020-08-26,Recovered,TT,56191
497,2020-08-26,Deceased,TT,1017
498,2020-08-27,Confirmed,TT,76827
499,2020-08-27,Recovered,TT,59620
500,2020-08-27,Deceased,TT,1066
501,2020-08-28,Confirmed,TT,76657
502,2020-08-28,Recovered,TT,64475
503,2020-08-28,Deceased,TT,1019
504,2020-08-29,Confirmed,TT,78479
505,2020-08-29,Recovered,TT,64982
506,2020-08-29,Deceased,TT,943
507,2020-08-30,Confirmed,TT,79461
508,2020-08-30,Recovered,TT,60422
509,2020-08-30,Deceased,TT,960
510,2020-08-31,Confirmed,TT,68766
511,2020-08-31,Recovered,TT,64435
512,2020-08-31,Deceased,TT,816
513,2020-09-01,Confirmed,TT,78168
514,2020-09-01,Recovered,TT,62145
515,2020-09-01,Deceased,TT,1027
